plot_id,press_cm,gal_3inac
F-1cc,500,3009.6950907630035
F-2no,2.5,4042.76839289754
F-2no,10,3989.8533815910655
F-2no,25,3785.884471729482
F-2no,50,3611.4495216668606
F-2no,100,3345.028592647054
F-2no,200,3004.4651187152704
F-2no,500,2974.6235135017346
F-3cc,2.5,4138.753762244172
F-3cc,10,4035.077257533232
F-3cc,25,3813.5725590410143
F-3cc,50,3552.6892474835136
F-3cc,100,3289.652418024005
F-3cc,200,3004.772764129848
F-3cc,500,2784.1910018813483
F-4no,2.5,4603.298338248676
F-4no,10,4407.6358545805515
F-4no,25,4058.765954455309
F-4no,50,3817.2643040158778
F-4no,100,3547.4592754357736
F-4no,200,3220.4321997451802
F-4no,500,3183.2071045819052
F-5cc,2.5,4335.954472985156
F-5cc,10,4254.73608353801
F-5cc,25,4119.0644557115265
F-5cc,50,4029.2319946563493
F-5cc,100,3863.411116201759
F-5cc,200,3546.5363391920596
F-5cc,500,3362.8720266922624
F-6no,2.5,5034.001918650211
F-6no,10,4748.814619341481
F-6no,25,4381.793639756461
F-6no,50,4115.065065322083
F-6no,100,3826.8013118676276
F-6no,200,3466.856176817774
F-6no,500,3411.7876476092924
F-7no,2.5,5536.0792352325725
F-7no,10,5143.831331652604
F-7no,25,4514.081168022647
F-7no,50,4189.822901063207
F-7no,100,3921.2484541413933
F-7no,200,3567.148581968418
F-7no,500,3380.407815322896
F-8cc,2.5,5353.953149805638
F-8cc,10,5085.378702883826
F-8cc,25,4617.757672733588
F-8cc,50,4380.870703512745
F-8cc,100,4188.592319404917
F-8cc,200,3917.556709166524
F-8cc,500,3756.9658027596656
St-1no,2.5,4862.335777318742
St-1no,10,4790.0391048942
St-1no,25,4555.305653575364
St-1no,50,4460.550865887026
St-1no,100,4335.031536741437
St-1no,200,4191.053482721495
St-1no,500,4087.376978010554
St-2cc,2.5,4928.4795414518385
St-2cc,10,4754.044591389218
St-2cc,25,4466.70377417848
St-2cc,50,4381.793639756463
St-2cc,100,4267.041900120911
St-2cc,200,4129.832045221566
St-2cc,500,4046.460137872411
St-3no,2.5,5177.057036426436
St-3no,10,5009.082640069836
St-3no,25,4663.289194090319
St-3no,50,4566.380888499974
St-3no,100,4471.933746226209
St-3no,200,4351.3367437137795
St-3no,500,4340.876799618314
St-4cc,2.5,5263.505397921316
St-4cc,10,4993.085078512068
