70|110|120|200|200|200|"Wet"|"213887907"|"134344436"
50|80|100|200|200|200|"Wet"|"213887908"|"134344437"
0|0|0|50|80|100|"Moist"|"213887908"|"134344438"
60|90|90|200|200|200|"Wet"|"213887909"|"134344439"
0|0|0|60|90|90|"Moist"|"213887909"|"134344440"
15|30|30|200|200|200|"Wet"|"213887910"|"134344441"
0|0|0|15|30|30|"Moist"|"213887910"|"134344442"
30|50|60|200|200|200|"Wet"|"213887911"|"134344443"
0|0|0|30|50|60|"Moist"|"213887911"|"134344444"
0|0|0|60|100|110|"Moist"|"213887912"|"134344445"
60|100|110|200|200|200|"Wet"|"213887912"|"134344446"
0|0|0|60|90|90|"Moist"|"213887913"|"134344447"
60|90|90|200|200|200|"Wet"|"213887913"|"134344448"
0|0|0|70|110|120|"Moist"|"213887914"|"134344449"
70|110|120|200|200|200|"Wet"|"213887914"|"134344450"
0|0|0|60|100|110|"Moist"|"213887915"|"134344451"
60|100|110|200|200|200|"Wet"|"213887915"|"134344452"
0|0|0|40|70|90|"Moist"|"213887916"|"134344453"
40|70|90|200|200|200|"Wet"|"213887916"|"134344454"
0|0|0|30|50|60|"Moist"|"213887917"|"134344455"
30|50|60|200|200|200|"Wet"|"213887917"|"134344456"
0|0|0|40|80|100|"Moist"|"213887918"|"134344457"
40|80|100|200|200|200|"Wet"|"213887918"|"134344458"
0|0|0|60|90|100|"Moist"|"213887919"|"134344459"
60|90|100|200|200|200|"Wet"|"213887919"|"134344460"
0|0|0|50|80|100|"Moist"|"213887920"|"134344461"
50|80|100|200|200|200|"Wet"|"213887920"|"134344462"
0|0|0|15|30|30|"Moist"|"213887921"|"134344463"
15|30|30|200|200|200|"Wet"|"213887921"|"134344464"
0|0|0|0|15|20|"Moist"|"213887922"|"134344465"
0|15|20|200|200|200|"Wet"|"213887922"|"134344466"
0|0|0|15|30|50|"Moist"|"213887923"|"134344467"
15|30|50|200|200|200|"Wet"|"213887923"|"134344468"
0|0|0|30|50|60|"Moist"|"213887924"|"134344469"
30|50|60|200|200|200|"Wet"|"213887924"|"134344470"
0|0|0|60|90|100|"Moist"|"213887925"|"134344471"
60|90|100|200|200|200|"Wet"|"213887925"|"134344472"
0|0|0|50|80|100|"Moist"|"213887926"|"134344473"
50|80|100|200|200|200|"Wet"|"213887926"|"134344474"
0|0|0|15|30|30|"Moist"|"213887927"|"134344475"
15|30|30|200|200|200|"Wet"|"213887927"|"134344476"
0|0|0|0|15|20|"Moist"|"213887928"|"134344477"
0|15|20|200|200|200|"Wet"|"213887928"|"134344478"
0|0|0|15|30|50|"Moist"|"213887929"|"134344479"
15|30|50|200|200|200|"Wet"|"213887929"|"134344480"
0|0|0|30|50|60|"Moist"|"213887930"|"134344481"
30|50|60|200|200|200|"Wet"|"213887930"|"134344482"
0|0|0|60|90|90|"Moist"|"213887931"|"134344483"
60|90|90|200|200|200|"Wet"|"213887931"|"134344484"
0|0|0|70|110|120|"Moist"|"213887932"|"134344485"
70|110|120|200|200|200|"Wet"|"213887932"|"134344486"
0|0|0|60|100|110|"Moist"|"213887933"|"134344487"
60|100|110|200|200|200|"Wet"|"213887933"|"134344488"
0|0|0|40|70|90|"Moist"|"213887934"|"134344489"
40|70|90|200|200|200|"Wet"|"213887934"|"134344490"
0|0|0|30|50|60|"Moist"|"213887935"|"134344491"
30|50|60|200|200|200|"Wet"|"213887935"|"134344492"
0|0|0|40|80|100|"Moist"|"213887936"|"134344493"
40|80|100|200|200|200|"Wet"|"213887936"|"134344494"
0|0|0|70|100|120|"Moist"|"213887937"|"134344495"
70|100|120|200|200|200|"Wet"|"213887937"|"134344496"
0|0|0|50|70|70|"Moist"|"213887938"|"134344497"
50|70|70|200|200|200|"Wet"|"213887938"|"134344498"
0|0|0|130|170|180|"Moist"|"213887939"|"134344499"
130|170|180|200|200|200|"Wet"|"213887939"|"134344500"
60|80|80|200|200|200|"Moist"|"213887940"|"134344501"
0|0|0|60|80|80|"Moist"|"213887940"|"134344502"
80|110|140|200|200|200|"Wet"|"213887941"|"134344503"
0|0|0|80|110|140|"Moist"|"213887941"|"134344504"
0|0|0|110|150|180|"Moist"|"213887942"|"134344505"
110|150|180|200|200|200|"Wet"|"213887942"|"134344506"
0|0|0|50|80|90|"Moist"|"213887943"|"134344507"
50|70|90|200|200|200|"Wet"|"213887943"|"134344508"
0|0|0|100|120|130|"Moist"|"213887944"|"134344509"
100|120|130|200|200|200|"Wet"|"213887944"|"134344510"
0|0|0|30|50|60|"Moist"|"213887945"|"134344511"
30|50|60|200|200|200|"Wet"|"213887945"|"134344512"
0|0|0|90|120|130|"Moist"|"213887946"|"134344513"
90|120|130|200|200|200|"Wet"|"213887946"|"134344514"
0|0|0|120|130|180|"Moist"|"213887947"|"134344515"
120|130|180|200|200|200|"Wet"|"213887947"|"134344516"
0|0|0|60|90|100|"Moist"|"213887948"|"134344517"
60|90|100|200|200|200|"Wet"|"213887948"|"134344518"
10|15|30|200|200|200|"Wet"|"213887949"|"134344519"
0|0|0|10|15|30|"Moist"|"213887949"|"134344520"
0|0|0|30|40|50|"Moist"|"213887950"|"134344521"
30|40|50|200|200|200|"Wet"|"213887950"|"134344522"
20|30|60|200|200|200|"Wet"|"213887951"|"134344523"
0|0|0|20|30|60|"Moist"|"213887951"|"134344524"
30|40|50|200|200|200|"Wet"|"213887952"|"134344525"
0|0|0|30|40|50|"Moist"|"213887952"|"134344526"
0|0|0|30|40|60|"Moist"|"213887953"|"134344527"
30|40|60|200|200|200|"Wet"|"213887953"|"134344528"
